,Crime_rate,P_RL,P_NRL,CRSV,NOC,ANR,P_SUH,WDCA,PIRH,Tax_rate,P_TS,P_black,P_under,Style,Price
0,0.00632,18.0,2.31,0.0,0.5379999999999999,6.575,65.2,4.09,1.0,0.41631504922644164,15.3,1.0,4.98,Mediterranean,24.0
1,0.02731,20.0,7.07,0.0,0.469,6.421,78.9,4.9671,2.0,0.340365682137834,17.8,1.0,9.14,European,21.6
2,0.02729,20.0,7.07,0.0,0.469,7.185,61.1,4.9671,2.0,0.340365682137834,17.8,0.989745527840766,4.03,Elegant,34.7
3,0.03237,20.0,2.18,0.0,0.458,6.997999999999998,45.8,6.0622,3.0,0.31223628691983124,18.7,0.9942806752330562,2.94,Pastoral,33.4
4,0.06905,20.0,2.18,0.0,0.458,7.147,54.2,6.0622,3.0,0.31223628691983124,18.7,1.0,5.33,Elegant,36.2
5,0.02985,20.0,2.18,0.0,0.458,6.43,58.7,6.0622,3.0,0.31223628691983124,18.7,0.9929957168052407,5.21,European,28.7
6,0.08829,12.5,7.87,0.0,0.524,6.0120000000000005,66.6,5.5605,5.0,0.43741209563994377,15.2,0.9967246157722349,12.43,modern,22.9
7,0.14455,12.5,7.87,0.0,0.524,6.1720000000000015,96.1,5.9505,5.0,0.43741209563994377,15.2,1.0,19.15,Pastoral,27.1
8,0.21124,12.5,7.87,0.0,0.524,5.631,100.0,6.0821,5.0,0.43741209563994377,15.2,0.9741244646006552,29.93,Pastoral,16.5
9,0.17004,12.5,7.87,0.0,0.524,6.004,85.9,6.5921,5.0,0.43741209563994377,15.2,0.9743260267069791,17.1,Pastoral,18.9
10,0.22489,12.5,7.87,0.0,0.524,6.377000000000002,94.3,6.3467,5.0,0.43741209563994377,15.2,0.9889644746787604,20.45,Pastoral,15.0
11,0.11747,12.5,7.87,0.0,0.524,6.009,82.9,6.2267,5.0,0.43741209563994377,15.2,1.0,13.27,modern,18.9
12,0.09378,12.5,7.87,0.0,0.524,5.8889999999999985,39.0,5.4509,5.0,0.43741209563994377,15.2,0.9838750314940792,15.71,European,21.7
13,0.62976,20.0,8.14,0.0,0.5379999999999999,5.949,61.8,4.7075,4.0,0.4317862165963432,21.0,1.0,8.26,Elegant,20.4
14,0.6379600000000001,20.0,8.14,0.0,0.5379999999999999,6.096,84.5,4.4619,4.0,0.4317862165963432,21.0,0.9574703955656336,10.26,Mediterranean,18.2
15,0.62739,20.0,8.14,0.0,0.5379999999999999,5.834,56.5,4.4986,4.0,0.4317862165963432,21.0,0.9967750062988159,8.47,Pastoral,19.9
16,1.05393,20.0,8.14,0.0,0.5379999999999999,5.935,29.3,4.4986,4.0,0.4317862165963432,21.0,0.9746787603930462,6.58,Mediterranean,23.1
17,0.7842,20.0,8.14,0.0,0.5379999999999999,5.99,81.7,4.2579,4.0,0.4317862165963432,21.0,0.9744268077601411,14.67,Elegant,17.5
18,0.80271,20.0,8.14,0.0,0.5379999999999999,5.456,36.6,3.7965,4.0,0.4317862165963432,21.0,0.7281179138321996,11.69,European,20.2
19,0.7258,20.0,8.14,0.0,0.5379999999999999,5.727,69.5,3.7965,4.0,0.4317862165963432,21.0,0.9850088183421517,11.28,European,18.2
20,1.25179,20.0,8.14,0.0,0.5379999999999999,5.57,98.1,3.7979,4.0,0.4317862165963432,21.0,0.9487780297304107,21.02,Pastoral,13.6
21,0.8520399999999999,20.0,8.14,0.0,0.5379999999999999,5.965,89.2,4.0123,4.0,0.4317862165963432,21.0,0.9889896699420508,13.83,modern,19.6
22,1.2324700000000002,20.0,8.14,0.0,0.5379999999999999,6.142,91.7,3.9769,4.0,0.4317862165963432,21.0,1.0,18.72,Elegant,15.2
